,id,name,Unnamed: 0,amenities_0,amenities_1,amenities_2,availability,roomleft,dis_from_des,latitude,longitude,free_cancel,pay_later,price_display,price_original,discount_percent,review_score,review_superlative,review_count,vip
52,983682,COMO Metropolitan Bangkok,52,pool,hot_tub,,True,3.0,1.65,13.723854,100.539147,,,112.0,,,4.6,Wonderful,936,
53,4167067,Galleria 10 Sukhumvit Bangkok by Compass Hospitality,53,pool,,,True,,1.59,13.736889,100.557038,FREE_CANCEL,,27.0,,,4.0,Very Good,1000,
54,15944048,Mercure Bangkok Sukhumvit 11,54,pool,,,True,,1.42,13.743136,100.556739,FREE_CANCEL,,68.0,,,4.3,Excellent,697,
55,171,Novotel Bangkok Bangna,55,,,,True,,9.03,13.673329,100.646864,,,38.0,,,3.9,Good,402,
56,904240,Conrad Bangkok,56,pool,,,True,,1.02,13.738623,100.548164,,,151.0,,,4.4,Excellent,887,
57,2922084,Siam Mandarina Hotel,57,pool,,,True,,13.56,13.690037,100.729194,FREE_CANCEL,PAY_LATER,39.0,44.0,10.0,3.9,Good,155,
58,20014009,B your home Hotel Donmueang Airport Bangkok,58,pool,,,True,,12.99,13.926366,100.595892,,,13.0,29.0,53.0,4.0,Very Good,278,
59,849626,Pullman Bangkok Hotel G,59,pool,,,True,,1.64,13.725868,100.525944,FREE_CANCEL,,74.0,,,4.2,Very Good,999,
60,5773638,Centara Watergate Pavillion Hotel Bangkok,60,,,,True,,0.5,13.751463,100.542228,,,53.0,68.0,22.0,4.4,Excellent,1001,VIP Access
61,18414460,Theatre Residence,61,pool,,,True,,3.51,13.75332,100.48411,,,48.0,76.0,37.0,4.6,Wonderful,131,VIP Access
62,1177622,Ambassador Bangkok Hotel,62,pool,,,True,7.0,1.44,13.742085,100.556709,,,29.0,48.0,39.0,3.4,,1000,
63,4646424,"Holiday Inn Express Bangkok Siam, an IHG Hotel",63,free_breakfast,,,True,6.0,0.56,13.746903,100.527711,FREE_CANCEL,PAY_LATER,53.0,,,4.2,Very Good,1002,
64,4425151,Aloft Bangkok Sukhumvit 11,64,pool,,,True,5.0,1.4,13.744256,100.556618,FREE_CANCEL,PAY_LATER,71.0,,,4.3,Excellent,999,
65,542152,Amari Don Muang Airport Bangkok,65,pool,,,True,,12.72,13.920623,100.600718,FREE_CANCEL,PAY_LATER,72.0,,,4.3,Excellent,1000,VIP Access
66,6468054,Crystal Suites Suvarnabhumi Airport,66,pool,,,True,6.0,13.21,13.721545,100.730944,FREE_CANCEL,,18.0,,,3.9,Good,497,
67,3005768,Amaranth Suvarnabhumi,67,pool,,,True,,13.87,13.646762,100.714778,FREE_CANCEL,PAY_LATER,61.0,68.0,10.0,4.4,Excellent,1000,VIP Access
68,3873343,Sinsuvarn Airport Suite,68,pool,,,True,4.0,13.63,13.720427,100.737225,FREE_CANCEL,,23.0,,,3.4,,1000,
69,27463493,ibis Styles Bangkok Sukhumvit 4,69,pool,,,True,,1.29,13.73935,100.553287,,,38.0,,,4.3,Excellent,364,
70,2194924,Hotel Royal Bangkok @ Chinatown,70,pool,,,True,,1.82,13.740418,100.509864,FREE_CANCEL,,33.0,,,4.1,Very Good,997,
71,5502851,Ploykhumthong Boutique Resort,71,pool,,,True,4.0,15.46,13.717794,100.764357,FREE_CANCEL,PAY_LATER,16.0,,,3.7,Good,503,
72,45038988,Somerset Rama 9 Bangkok,72,pool,,,True,,2.26,13.761117,100.566662,FREE_CANCEL,PAY_LATER,68.0,,,4.5,Wonderful,43,
73,18519406,Gold Airport Suites,73,pool,,,True,,15.45,13.718817,100.764345,FREE_CANCEL,PAY_LATER,18.0,42.0,58.0,3.6,Good,358,
74,1492595,Centre Point Sukhumvit 10,74,pool,,,True,8.0,1.66,13.735014,100.557187,FREE_CANCEL,,55.0,,,4.4,Excellent,998,
75,24397583,"De Prime@rangnam, Your Tailor Made Hotel",75,pool,,,True,1.0,0.87,13.759396,100.54031,,,31.0,,,4.3,Excellent,140,
76,8114232,"Holiday Inn Express Bangkok Sukhumvit 11, an IHG Hotel",76,free_breakfast,,,True,,1.41,13.744925,100.556915,FREE_CANCEL,PAY_LATER,44.0,,,4.1,Very Good,657,
77,5238237,The Phoenix Hotel Bangkok,77,,,,True,8.0,14.7,13.723377,100.753582,FREE_CANCEL,,18.0,,,3.7,Good,996,
78,527254,Amari Watergate Bangkok,78,pool,hot_tub,,True,,0.34,13.750628,100.540011,,,87.0,117.0,25.0,4.3,Excellent,1001,VIP Access
79,20149645,ibis Styles Bangkok Sukhumvit Phra Khanong,79,pool,,,True,,4.6,13.712687,100.594479,FREE_CANCEL,,31.0,,,4.2,Very Good,434,
80,34462542,Avani Sukhumvit Bangkok Hotel,80,pool,,,True,,5.27,13.705459,100.601442,,,62.0,,,4.5,Wonderful,330,VIP Access
81,69155,Le Siam Hotel,81,pool,,,True,2.0,1.44,13.72685,100.533689,,,35.0,,,4.2,Very Good,600,
82,4316140,Hotel Muse Bangkok Langsuan - MGallery,82,pool,,,True,,0.72,13.739895,100.543276,FREE_CANCEL,,103.0,,,4.6,Wonderful,993,
83,38891044,Eleven Hotel Bangkok,83,pool,,,True,,1.43,13.741012,100.556291,FREE_CANCEL,PAY_LATER,50.0,59.0,15.0,4.3,Excellent,206,VIP Access
84,73642968,Tastoria Collection Hotel Sukhumvit,84,pool,,,True,,2.19,13.73112,100.564014,,,108.0,166.0,35.0,4.6,Wonderful,5,
85,44984860,Sindhorn Kempinski Hotel Bangkok,85,pool,,,True,,0.92,13.736655,100.543978,,,315.0,,,4.9,Exceptional,45,
86,11723,Royal Orchid Sheraton Hotel & Towers,86,pool,,,True,5.0,1.96,13.729172,100.513731,FREE_CANCEL,PAY_LATER,104.0,,,4.4,Excellent,999,
87,46551159,The Home Hotel,87,,,,True,6.0,7.18,13.75269,100.6428,,,38.0,,,4.4,Excellent,14,
88,1828897,Miracle Suvarnabhumi Airport,88,pool,,,True,,13.66,13.676457,100.725872,FREE_CANCEL,,26.0,43.0,40.0,3.6,Good,1000,
89,17680198,The Salil Sukhumvit 57 - Thonglor,89,pool,,,True,7.0,3.35,13.724824,100.580203,,,73.0,112.0,35.0,4.2,Very Good,504,VIP Access
90,1351389,The Siam Heritage Hotel,90,pool,,,True,4.0,1.3,13.729528,100.530494,FREE_CANCEL,PAY_LATER,32.0,70.0,54.0,4.1,Very Good,996,
91,1775602,"FuramaXclusive Sathorn, Bangkok",91,pool,,,True,,1.65,13.724001,100.531477,,,29.0,,,3.9,Good,999,
92,1795742,Adelphi Suites Bangkok,92,pool,,,True,5.0,1.46,13.739023,100.555864,FREE_CANCEL,PAY_LATER,82.0,157.0,48.0,4.5,Wonderful,1000,VIP Access
93,520962,Dream Bangkok,93,pool,,,True,4.0,1.59,13.74061,100.558652,FREE_CANCEL,PAY_LATER,68.0,,,4.3,Excellent,999,VIP Access
94,1584372,DoubleTree by Hilton Bangkok Ploenchit,94,pool,,,True,1.0,1.16,13.740391,100.551667,,,66.0,,,4.0,Very Good,997,
95,19663253,Hyatt Place Bangkok Sukhumvit,95,pool,,,True,4.0,2.57,13.727858,100.568447,FREE_CANCEL,,66.0,,,4.1,Very Good,1000,
96,2422733,Bally Suite Silom,96,,,,True,,1.28,13.729026,100.535449,FREE_CANCEL,,26.0,,,3.5,Good,852,
97,4386396,Nasa Bangkok,97,,,,True,,4.44,13.742865,100.601954,,,16.0,54.0,70.0,4.4,Excellent,47,
98,5461866,W Bangkok,98,pool,,,True,5.0,1.81,13.722217,100.528828,FREE_CANCEL,PAY_LATER,154.0,,,4.6,Wonderful,1001,
99,478900,"Silom Serene, a Boutique Hotel",99,pool,,,True,,1.5,13.72637,100.531046,FREE_CANCEL,,41.0,,,4.1,Very Good,676,
100,3867199,ibis Bangkok Riverside,100,pool,,,True,,2.73,13.717507,100.509526,,,35.0,,,4.2,Very Good,997,
101,1507253,Novotel Bangkok Suvarnabhumi Airport Hotel,101,pool,,,True,,14.91,13.696262,100.751752,FREE_CANCEL,,158.0,,,4.1,Very Good,1004,
102,1356194,Millennium Hilton Bangkok,102,pool,hot_tub,,True,,2.19,13.72856,100.509814,,,98.0,,,4.1,Very Good,1001,
103,4668642,Oriental Residence Bangkok,103,pool,,,True,,0.94,13.738296,100.546393,,,123.0,164.0,25.0,4.6,Wonderful,1000,VIP Access
104,521418,Chatrium Residence Sathorn,104,pool,hot_tub,,True,,3.12,13.70232,100.537361,,,59.0,78.0,25.0,4.4,Excellent,999,VIP Access
105,15239,Grand Hyatt Erawan Bangkok,105,pool,hot_tub,,True,,0.4,13.743522,100.540382,FREE_CANCEL,,153.0,,,4.6,Wonderful,972,
106,2149655,Siri Sathorn Bangkok by UHG,106,pool,,,True,5.0,1.53,13.725441,100.538419,FREE_CANCEL,PAY_LATER,36.0,89.0,59.0,4.0,Very Good,47,
107,2078619,ibis Bangkok Sathorn,107,,,,True,,1.91,13.721792,100.546581,,,23.0,,,4.0,Very Good,607,
108,597619,"Holiday Inn Bangkok, an IHG Hotel",108,pool,,,True,2.0,0.44,13.744778,100.541971,FREE_CANCEL,PAY_LATER,83.0,,,4.4,Excellent,1000,
109,8206906,"Hotel Indigo Bangkok Wireless Road, an IHG Hotel",109,pool,,,True,3.0,0.92,13.739848,100.547257,FREE_CANCEL,PAY_LATER,88.0,,,4.5,Wonderful,817,
110,4351291,Nouvo City Hotel,110,pool,,,True,,2.66,13.762538,100.499445,FREE_CANCEL,PAY_LATER,46.0,,,4.2,Very Good,949,
111,5478003,Red Planet Bangkok Asoke,111,,,,True,,1.8,13.736174,100.560079,FREE_CANCEL,PAY_LATER,22.0,27.0,20.0,4.0,Very Good,999,
112,65309066,The Coach Hotel Sukhumvit 14 Bangkok by Compass Hospitality,112,pool,,,True,,1.06,13.743886,100.551349,FREE_CANCEL,PAY_LATER,44.0,51.0,15.0,5.0,Exceptional,4,
113,18221388,Siam Champs Elyseesi Unique Hotel,113,,,,True,,2.27,13.755795,100.503276,FREE_CANCEL,,24.0,,,4.3,Excellent,186,
114,5084456,FX Hotel Metrolink Makkasan,114,pool,,,True,,1.85,13.749549,100.563456,FREE_CANCEL,,24.0,,,4.0,Very Good,1000,
115,7449336,Maitria Mode Sukhumvit 15 Bangkok,115,pool,,,True,,1.53,13.745231,100.558728,FREE_CANCEL,,43.0,57.0,26.0,4.4,Excellent,1000,VIP Access
116,5061738,The Okura Prestige Bangkok,116,pool,,,True,,0.85,13.742729,100.547755,FREE_CANCEL,PAY_LATER,182.0,228.0,20.0,4.7,Exceptional,1002,VIP Access
117,2120,Anantara Riverside Bangkok Resort,117,pool,hot_tub,,True,,4.18,13.704804,100.491908,,,146.0,,,4.5,Wonderful,1000,VIP Access
118,5447760,ibis Bangkok Siam,118,,,,True,,0.48,13.746748,100.528866,,,38.0,,,4.0,Very Good,1000,
119,8359115,Golden Jade Suvarnabhumi,119,,,,True,,13.58,13.722624,100.736721,FREE_CANCEL,,18.0,20.0,12.0,3.8,Good,842,
120,2558980,Chatrium Hotel Riverside Bangkok,120,pool,,,True,,3.08,13.710795,100.510011,FREE_CANCEL,PAY_LATER,102.0,127.0,20.0,4.7,Exceptional,1000,VIP Access
121,44218814,Canalis Suvarnabhumi Airport Hotel,121,,,,True,,16.13,13.721962,100.774906,,,47.0,,,4.3,Excellent,58,
122,53139844,KOS HOTEL SUVARNABHUMI AIRPORT,122,,,,True,2.0,14.29,13.803463,100.741055,FREE_CANCEL,PAY_LATER,27.0,,,4.7,Exceptional,20,
123,2631430,Regent Suvarnabhumi Hotel,123,,,,True,8.0,13.18,13.720352,100.730382,FREE_CANCEL,PAY_LATER,19.0,27.0,30.0,3.4,,943,
124,898972,Asia Hotel Bangkok,124,pool,,,True,,0.42,13.751428,100.531324,FREE_CANCEL,,29.0,,,3.6,Good,1000,
125,18711878,Pongsakorn Boutique Resort,125,,,,True,,17.1,13.718624,100.789033,FREE_CANCEL,,18.0,,,4.3,Excellent,174,
126,8414,Holiday Inn Bangkok Silom,126,pool,,,True,,2.03,13.72266,100.519759,FREE_CANCEL,PAY_LATER,65.0,,,4.2,Very Good,999,
127,48503653,The Cotton Saladaeng Hotel,127,pool,,,True,,1.53,13.726094,100.541804,,,40.0,67.0,41.0,4.5,Wonderful,26,
128,17963680,Anajak Bangkok Hotel,128,pool,,,True,2.0,0.6,13.75611,100.53453,,,43.0,61.0,30.0,4.6,Wonderful,1000,
129,1969078,Le Meridien Bangkok,129,pool,,,True,5.0,1.28,13.72981,100.530524,FREE_CANCEL,PAY_LATER,133.0,,,4.5,Wonderful,1000,
130,17363341,Phranakorn Nornlen Hotel,130,,,,True,3.0,2.56,13.767723,100.504089,FREE_CANCEL,PAY_LATER,30.0,45.0,35.0,4.7,Exceptional,295,
131,9242105,Nana Hotel,131,pool,,,True,,1.23,13.741025,100.553104,FREE_CANCEL,,34.0,38.0,10.0,3.6,Good,751,
132,21810687,Casa Vimaya Riverside,132,pool,,,True,8.0,2.65,13.761615,100.499355,FREE_CANCEL,,42.0,,,4.4,Excellent,392,
133,23462,Crowne Plaza Bangkok Lumpini Park,133,pool,,,True,,1.21,13.729989,100.535058,FREE_CANCEL,PAY_LATER,105.0,,,4.5,Wonderful,1000,
134,10624194,Rambuttri Village Inn & Plaza,134,pool,,,True,2.0,2.85,13.761395,100.496046,FREE_CANCEL,PAY_LATER,22.0,,,3.9,Good,997,
135,30930885,The Key Premier Hotel Sukhumvit,135,pool,,,True,,1.33,13.742897,100.555241,FREE_CANCEL,,53.0,,,4.5,Wonderful,346,
136,17469903,Hope Land Hotel Sukhumvit 8,136,pool,,,True,3.0,1.49,13.738003,100.555864,FREE_CANCEL,,48.0,138.0,66.0,4.1,Very Good,1000,
137,19435898,Holiday Inn Express Bangkok Soi Soonvijai,137,free_breakfast,,,True,,3.26,13.747895,100.584647,FREE_CANCEL,PAY_LATER,42.0,,,4.3,Excellent,73,
138,7650872,Radisson Blu Plaza Bangkok,138,pool,,,True,,2.11,13.734406,100.564366,,,96.0,,,4.4,Excellent,1001,VIP Access
139,5771263,BU Place Hotel,139,pool,,,True,,1.8,13.757471,100.560854,FREE_CANCEL,,18.0,,,4.1,Very Good,130,
140,3226533,Floral Shire Resort,140,,,,True,4.0,15.52,13.717165,100.765083,FREE_CANCEL,,14.0,15.0,11.0,3.5,Good,990,
141,3346,Bangkok Hotel Lotus Sukhumvit by Compass Hospitality,141,pool,,,True,,2.31,13.733419,100.567184,FREE_CANCEL,PAY_LATER,35.0,44.0,20.0,4.1,Very Good,1000,
142,54653,JW Marriott Hotel Bangkok,142,pool,hot_tub,,True,5.0,1.14,13.741639,100.551964,FREE_CANCEL,PAY_LATER,167.0,,,4.6,Wonderful,619,VIP Access
143,13254446,Novotel Bangkok Sukhumvit 20,143,pool,,,True,,2.18,13.731515,100.563972,FREE_CANCEL,,75.0,,,4.5,Wonderful,999,
144,5264656,Riva Surya Bangkok,144,pool,,,True,1.0,3.05,13.762059,100.493078,FREE_CANCEL,PAY_LATER,95.0,,,4.7,Exceptional,998,
145,21049393,Golden Foyer Suvarnabhumi Airport Hotel,145,pool,,,True,,17.47,13.720421,100.794767,FREE_CANCEL,,23.0,,,3.9,Good,325,
146,3014967, La Petite Salil Sukhumvit Thonglor 1,146,pool,,,True,,3.18,13.727495,100.578679,FREE_CANCEL,,30.0,,,3.9,Good,459,
147,43964,Banyan Tree Bangkok,147,pool,hot_tub,,True,,1.62,13.724324,100.539636,FREE_CANCEL,,189.0,,,4.5,Wonderful,1000,VIP Access
148,17877083,QG Resort,148,,,,True,1.0,13.04,13.726503,100.729069,,,26.0,,,4.5,Wonderful,77,VIP Access
149,3191945,Maitria Hotel Sukhumvit 18 Bangkok,149,pool,,,True,4.0,2.05,13.732908,100.562596,FREE_CANCEL,,41.0,58.0,30.0,4.4,Excellent,999,VIP Access
150,32937695,ibis Styles Bangkok Ratchada,150,,,,True,,3.27,13.777278,100.573948,,,36.0,,,4.2,Very Good,195,
151,12994647,Le Tada Parkview Hotel,151,pool,,,True,2.0,1.0,13.761362,100.54012,FREE_CANCEL,PAY_LATER,30.0,81.0,63.0,4.5,Wonderful,184,
152,74664586,SQ Boutique Hotel Managed by The Ascott Limited,152,,,,True,2.0,1.72,13.739737,100.560312,FREE_CANCEL,PAY_LATER,45.0,,,4.8,Exceptional,6,
153,20356956,Citrus Suites Sukhumvit 6 by Compass Hospitality,153,pool,,,True,,1.32,13.739037,100.55368,FREE_CANCEL,PAY_LATER,51.0,65.0,22.0,4.3,Excellent,569,
154,1847345,Centara Grand at CentralWorld,154,pool,,,True,,0.19,13.747509,100.538771,,,140.0,164.0,15.0,4.3,Excellent,1000,
155,17101703,ibis Bangkok IMPACT,155,,,,True,,11.69,13.915927,100.55201,FREE_CANCEL,,35.0,,,4.3,Excellent,451,
156,1494084,Centre Point Hotel Chidlom,156,pool,,,True,5.0,0.76,13.73903,100.543326,FREE_CANCEL,PAY_LATER,70.0,176.0,60.0,4.3,Excellent,999,VIP Access
157,3800623,"Four Points by Sheraton Bangkok, Sukhumvit 15",157,pool,,,True,1.0,1.6,13.73932,100.558333,FREE_CANCEL,PAY_LATER,115.0,,,4.4,Excellent,999,
158,15452130,Riva Arun Bangkok,158,,,,True,1.0,2.97,13.744217,100.491885,FREE_CANCEL,PAY_LATER,93.0,,,4.7,Exceptional,514,
159,520975,Grand President Bangkok,159,pool,,,True,,1.42,13.74275,100.556596,,,34.0,,,3.2,,1000,
160,6545896,Mövenpick Hotel Sukhumvit 15 Bangkok,160,pool,,,True,,1.55,13.742271,100.558512,FREE_CANCEL,,77.0,,,4.2,Very Good,1000,
161,15804600,SKYVIEW Hotel Bangkok,161,pool,,,True,8.0,2.56,13.729175,100.569137,FREE_CANCEL,PAY_LATER,107.0,,,4.3,Excellent,1001,VIP Access
162,13172072,Avani+ Riverside Bangkok Hotel,162,pool,,,True,,4.2,13.705346,100.490873,,,160.0,,,4.6,Wonderful,1000,VIP Access
163,19894743,Zazz Urban Bangkok,163,,,,True,,2.66,13.754267,100.575058,FREE_CANCEL,PAY_LATER,31.0,63.0,50.0,4.3,Excellent,87,
164,2724438,Great Residence Hotel,164,pool,,,True,,16.26,13.716912,100.77629,FREE_CANCEL,PAY_LATER,23.0,,,3.5,Good,995,
165,3916619,Radisson Suites Bangkok Sukhumvit,165,pool,,,True,,1.48,13.744027,100.557758,FREE_CANCEL,PAY_LATER,53.0,,,4.2,Very Good,735,
166,5094838,Best Western Premier Sukhumvit,166,pool,,,True,,1.06,13.746743,100.551739,,,88.0,,,4.2,Very Good,442,
167,31914045,T2 Residence Sathorn,167,pool,,,True,,1.87,13.72056,100.538695,,,30.0,47.0,35.0,4.7,Exceptional,48,
168,5486921,Mercure Bangkok Siam,168,pool,,,True,,0.48,13.746652,100.528894,,,58.0,,,4.2,Very Good,999,
169,5118068,Marvin Suites,169,,,,True,5.0,2.1,13.71845,100.52667,,,22.0,,,4.2,Very Good,951,
170,50557809,Maitria Hotel Rama 9 Bangkok,170,pool,,,True,5.0,2.92,13.750116,100.579495,FREE_CANCEL,,40.0,48.0,16.0,5.0,Exceptional,3,
171,1959968,Aspen Suites Hotel Sukhumvit 2 Bangkok,171,pool,,,True,5.0,1.26,13.73782,100.55194,FREE_CANCEL,PAY_LATER,26.0,,,3.9,Good,855,
